"","Year","Song","Artist","War","Min_deaths","Max_deaths","beginning","ending","Combatants","Location","duration","avg_death"
"932","2003","""I Saw Him Laying There""","Dawn Called Malice","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"933","2006","""If This Is Goodbye""","Mark Knopfler with Emmylou Harris","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"934","2004","""If Wishes Were Horses""","David Baerwald","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"935","2007","""Illegal Attacks""","Ian Brown","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"936","2003","""In a World Gone Mad""","Beastie Boys","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"937","2003","""Into the Fire""","Bruce Springsteen","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"938","2002","""Jacob's Ladder""","Chumbawamba","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"939","2002","""Jerusalem""","Steve Earle","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"940","2002","""John Walker's Blues""","Steve Earle","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"941","1991","""Job Well Done""","Rob Lincoln","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"942","2004","""Kimdir O""","Barış Akarsu","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"943","2004","""Leaving Beirut""","Roger Waters","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"944","2007","""Last to Die""","Bruce Springsteen","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"945","2004","""Left Right""","The Chemical Brothers","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"946","2004","""Let Them Eat War""","Bad Religion","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"947","2011","""Let's Be Real""","Soulja Boy","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"948","2003","""Let's Get Free""","Sheryl Crow","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"949","2006","""Let's Impeach the President""","Neil Young","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"950","2002","""Let's Roll""","Neil Young","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"951","2012","""Letter from a Soldier""","Andy T.","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"952","2006","""Letter from Iraq""","Bouncing Souls","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"953","2004","""Letters from Home""","John Michael Montgomery","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"954","2006","""Lift the Veil, Kiss the Tank""","The Blood Brothers","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"955","2006","""Light Up Ya Lighter""","Michael Franti","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"956","2008","""Love Me, I'm a Liberal""","Kevin Devine","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"957","2001","""Makeshift Patriot""","Sage Francis","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"958","2006","""Mama""","Godsmack","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"959","2002","""Manhattan-Kaboul""","Axelle Red and Renaud","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"960","2004","""The Man Who Would Be King""","Dio","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"961","2009","""Medals of Gold""","Robert Lawrence","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"962","2003","""Midnight Oil""","Dawn Called Malice","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"963","2004","""The Mob Goes Wild""","Clutch","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"964","2004","""Mosh""","Eminem","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"965","2003","""My Girlfriend is a Lefty""","Dawn Called Malice","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"966","2006","""Never Knew""","Tony Dowe","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"967","2003","""New Killer Star""","David Bowie","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"968","1999","""No End in Sight""","Toto","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"969","2002","""No Human No Fly""","April Hole","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"970","2006","""No More""","Bob Seger","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"971","2005","""No Sure Way""","Loudon Wainwright III","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"972","2005","""No Time Flat""","Kevin Devine","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"973","2003","""No War""","Esham","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"974","2013","""Not a Bad Man""","Patty Griffin","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"975","2003","""Not in My Name""","Saul Williams","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"976","2003","""Nothing Man""","Bruce Springsteen","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"977","2004","""Now You've Got Something to Die For""","Lamb of God","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"978","2011","""On The Backs of Angels""","Dream Theater","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"979","2007","""On With the Song""","Mary Chapin Carpenter","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"980","2001","""Open Invitation (I Hate You bin Laden)""","Jackyl","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"981","2002","""Osama Yo' Mama""","Ray Stevens","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"982","2003","""Out of Time""","Blur","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"983","2005","""Overburdened""","Disturbed","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"984","2003","""Paradise""","Bruce Springsteen","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"985","2009","""People of the Lie""","KMFDM","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"986","2003","""Planet of the Rice""","Dawn Called Malice","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"987","2003","""Please Freeze Me""","Dawn Called Malice","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"988","2003","""Politik""","Coldplay","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"989","2002","""The Price of Oil""","Billy Bragg","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"990","2007","""Prophets of War""","Dream Theater","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"991","1996","""Redemption Day""","Sheryl Crow","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"992","2017","""Refuge""","Steven Wilson","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"993","2015","""Rhinoceros""","Sky Destroyers","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"994","2004","""Rich Man's War""","Steve Earle","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"995","2007","""Rumors of War""","High on Fire","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"996","2005","""Sacrificed Sons""","Dream Theater","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"997","2005","""Sacred Lie""","Disturbed","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"998","2004","""Saraba""","The Gazette","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"999","2006","""Shock and Awe""","Neil Young","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1000","2002","""Skylines and Turnstiles""","My Chemical Romance","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1001","1991","""Slap Leather""","James Taylor","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1002","2008","""Sleep Through the Static""","Jack Johnson","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1003","2007","""S-O-R-R-Y""","The Proclaimers","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1004","2002","""Square Dance""","Eminem","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1005","2007","""Stand Up""","Flobots","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1006","2002","""Still Waiting""","Sum 41","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1007","2003","""Stop the War (Gotta Give It Up)""","John Tabacco","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1008","2005","""Succexy""","Metric","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1009","2003","""A Taste of Money""","Dawn Called Malice","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1010","1989","""Tehran""","The Offspring","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1011","2006","""Take a Bow""","Muse","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1012","2008","""That Man I Shot""","Drive-By Truckers","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1013","2007","""The Little Things Give You Away""","Linkin Park","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1014","2005","""The Sodom and Gomorrah Show""","Pet Shop Boys","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1015","2003","""This Is War""","Smile Empty Soul","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1016","2009","""This Is War""","Thirty Seconds to Mars","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1017","2006","""Trot Out the Dead""","Hammers of Misfortune","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1018","2004","""To Kill the Child""","Roger Waters","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1019","1991","""Too Many Puppies""","Primus","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1020","1992","""Too Much Rope""","Roger Waters","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1021","2016","""The Threat Is Real""","Megadeth","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1022","1994","""Turkey Shoot""","Killdozer","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1023","2005","""Twenty""","Robert Cray","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1024","2006","""Two Weeks From Twenty""","Yellowcard","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1025","2004","""Unknown Soldier""","The Casualties","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1026","2011","""Victory Stinks""","Jello Biafra and the Guantanamo School of Medicine","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1027","2008","""Violent & Young""","Iglu & Hartly","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1028","2003","""Walk On""","Hilltop Hoods","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1029","2002","""War on War""","Wilco","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1030","1992","""Wargasm""","L7","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1031","2012","""Warzone""","Pagoda","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1032","2005","""War Is a Wonderful Thing""","Real West","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1033","2005","""We Don't Want Your War""","Jynkz {Jeff Neugebauer}","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1034","2003","""What Are We Fighting For""","Live","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1035","2001","""What More Can I Give""","Michael Jackson & Various Artists","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1036","2005","""When the President Talks to God""","Bright Eyes","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1037","2004","""Where Is the Love?""","The Black Eyed Peas (Featuring Justin Timberlake)","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1038","2001","""Where Were You (When the World Stopped Turning)""","Alan Jackson","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1039","2006","""Where'd You Go""","Fort Minor","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1040","2007","""White People For Peace""","Against Me!","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1041","2010","""White Flag Warrior""","Flobots ft. Tim McIlrath","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1042","2005","""Wipe That Smile Off Your Face""","Our Lady Peace","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1043","2011","""Words I Never Said""","Lupe Fiasco","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1044","2006","""World Wide Suicide""","Pearl Jam","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1045","2006","""Waiting on the World to Change""","John Mayer","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1046","2006","""Worker Bees""","Billy Talent","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1047","2003","""WWIII""","KMFDM","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1048","2006","""Yellowcake""","Ministry","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1049","1992","""Yellow Ledbetter""","Pearl Jam","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1050","2007","""Yo George""","Tori Amos","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1051","1991","""You Shoulda Killed Me Last Year""","Ice-T","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1052","2003","""Your Silence""","Suicide Machines","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1053","2007","""Sweet Neo Con""","Rolling Stones","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"1054","2013","""Waves""","Portugal, The Man","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
